expert,key,symbol,timeframe,model,accuracy,precision,recall,f1,auc,n_samples,sharpe,max_drawdown,win_rate,total_return,n_predictions,n_windows
hvn_expert,random_forest_EURUSD_M15,EURUSD,M15,random_forest,0.8087538788175731,0.3855421686746988,0.027777777777777776,0.051821862348178135,0.5087591363240126,6123,0.024139140494001263,-19.009876809752154,0.5432098765432098,0.00024993052267285876,6123,3
hvn_expert,random_forest_EURUSD_M5,EURUSD,M5,random_forest,0.923106434286967,0.05128205128205128,0.0014619883040935672,0.0028429282160625444,0.49963489271822764,18246,0.14643666467598276,-3.594544273771146,0.5789473684210527,0.0009159918159609148,18246,3
hvn_expert,random_forest_EURUSD_M30,EURUSD,M30,random_forest,0.8176470588235294,0.27586206896551724,0.014678899082568808,0.027874564459930314,0.5031644992430737,3060,-0.16301784838351882,-74.72862233928977,0.5,-0.002387932139273574,3060,3
hvn_expert,random_forest_EURUSD_H4,EURUSD,H4,random_forest,0.5983935742971888,0.36363636363636365,0.13186813186813187,0.1935483870967742,0.49947836973153426,249,-0.046004307481248896,-6.880293997576553,0.3225806451612903,-0.0009103288230051243,249,3
hvn_expert,random_forest_GOLD_M30,GOLD,M30,random_forest,0.3798449612403101,0.4015748031496063,0.5368421052631579,0.4594594594594595,0.3826342506011221,387,-0.08194741510630194,-3.328966497538086,0.5236220472440944,-0.011577602148301058,387,3
hvn_expert,random_forest_GOLD_M15,GOLD,M15,random_forest,0.5027777777777778,0.49823321554770317,0.3949579831932773,0.440625,0.5018867050952612,720,0.28748152269932886,-44.77152932998013,0.5106382978723404,0.03175456308209279,720,3
hvn_expert,random_forest_GOLD_H1,GOLD,H1,random_forest,0.527027027027027,0.5098039215686274,0.9541284403669725,0.6645367412140575,0.5345863440772916,222,0.013003608450686101,-3.377514969719393,0.5369458128078818,-0.0013612500959708784,222,3
hvn_expert,random_forest_GOLD_H4,GOLD,H4,random_forest,0.6060606060606061,0.6,0.9473684210526315,0.7346938775510204,0.5451127819548872,99,-0.36313233853743754,-207337030.6110067,0.5056179775280899,-0.054199615715664895,99,3
hvn_expert,random_forest_GOLD_M5,GOLD,M5,random_forest,0.7626288808248373,0.26666666666666666,0.0068762278978389,0.01340675125688293,0.5005409809818039,17361,-0.07994912193720219,-3.2557436181173607,0.5288461538461539,-0.004674862103422828,17361,3
ichimoku_expert,xgboost_EURUSD_M5,EURUSD,M5,xgboost,0.9250246629398224,0.0,0.0,0.0,0.5,18246,0.0,0.0,0.0,0.0,18246,3
ichimoku_expert,xgboost_EURUSD_M15,EURUSD,M15,xgboost,0.7295443410093092,0.26045627376425856,0.2378472222222222,0.24863883847549909,0.5406697386508417,6123,-0.20068356851745373,-5.837072460797661,0.4903100775193798,-0.008007113924790143,6123,3
ichimoku_expert,xgboost_EURUSD_M30,EURUSD,M30,xgboost,0.7101307189542484,0.22419354838709676,0.25504587155963304,0.23862660944206007,0.5318966932350849,3060,0.39461170051603955,-0.4324119257951892,0.5413290113452188,0.021637238273863657,3060,3
ichimoku_expert,xgboost_EURUSD_H1,EURUSD,H1,xgboost,0.6326129666011788,0.3694581280788177,0.14763779527559054,0.2109704641350211,0.5110122244287668,1527,0.22577092523805625,-5439944.737067881,0.5369458128078818,0.00945146155317178,1527,3
ichimoku_expert,xgboost_EURUSD_H4,EURUSD,H4,xgboost,0.5783132530120482,0.4461538461538462,0.6373626373626373,0.5248868778280543,0.5908332174154959,249,0.26553938021122375,-2.5234594943092716,0.5078125,0.011683126946916644,249,3
ichimoku_expert,xgboost_GOLD_M15,GOLD,M15,xgboost,0.5125,0.5104895104895105,0.40896358543417366,0.45412130637636083,0.5116443271523485,720,-0.182942845433303,-249333391.2007367,0.506993006993007,-0.01845114366909506,720,3
ichimoku_expert,xgboost_GOLD_M30,GOLD,M30,xgboost,0.48320413436692505,0.4825174825174825,0.7263157894736842,0.5798319327731093,0.48752337697034465,387,0.2862447066693241,-47004751.634012185,0.5368421052631579,0.032313220367922835,387,3
